Breed,Breed Group,Height,Weight,Life Expectancy
German Wirehaired Pointer,SPORTING GROUP,24-26,50-70,14-16
Giant Schnauzer,WORKING GROUP,25.5-27.5,75-95,10-13
Glen of Imaal Terrier,TERRIER GROUP,12.5-14,32-40,10-15
Golden Retriever,SPORTING GROUP,23-24,65-75,10-12
Gordon Setter,SPORTING GROUP,24-27,55-80,12-13
Grand Basset Griffon Vendéen,HOUND GROUP,15.5-18,40-45,13-15
Great Dane,WORKING GROUP,30-32,140-175,7-10
Great Pyrenees,WORKING GROUP,27-32,100 & up,10-12
Greater Swiss Mountain Dog,WORKING GROUP,25.5-28.5,115-140,8-11
Greyhound,HOUND GROUP,28-30,65-70,10-13
Hamiltonstovare,FOUNDATION STOCK SERVICE,19-24,40-75,14-17
Hanoverian Scenthound,FOUNDATION STOCK SERVICE,19-21,79-99,10-14
Harrier,HOUND GROUP,19-21,45-60,12-15
Havanese,TOY GROUP,8.5-11.5,7-13,14-16
Hokkaido,FOUNDATION STOCK SERVICE,18-20,44-66,12-15
Hovawart,FOUNDATION STOCK SERVICE,23-28,65-90,10-14
Ibizan Hound,HOUND GROUP,23.5-27.5,50,11-14
Icelandic Sheepdog,HERDING GROUP,18,30,12-14
Irish Red and White Setter,SPORTING GROUP,24.5-26,42-60,11-15
Irish Setter,SPORTING GROUP,27,70,12-15
Irish Terrier,TERRIER GROUP,18,27,13-15
Irish Water Spaniel,SPORTING GROUP,22-24,55-68,12-13
Irish Wolfhound,HOUND GROUP,32 minimum,120,6-8
Italian Greyhound,TOY GROUP,13-15,7-14,14-15
Jagdterrier,FOUNDATION STOCK SERVICE,13-16,17-22,10-12
Japanese Akitainu,MISCELLANEOUS CLASS,25-27.5,65-75,10-12
Japanese Chin,TOY GROUP,8-11,7-11,10-12
Japanese Spitz,FOUNDATION STOCK SERVICE,12-15,10-25,10-14
Japanese Terrier,FOUNDATION STOCK SERVICE,10-13,10-12 lbs,13-15
Kai Ken,MISCELLANEOUS CLASS,18.5 - 19.5 (males),30-40 (males),12-15
Karelian Bear Dog,FOUNDATION STOCK SERVICE,19-23.5,44-49,11-13
Keeshond,NON-SPORTING GROUP,18,35-45,12-15
Kerry Blue Terrier,TERRIER GROUP,18-19.5,33-40,12-15
Kishu Ken,FOUNDATION STOCK SERVICE,19-22,30-60,12-15
Komondor,WORKING GROUP,27.5 minimum,100 or more,10-12
Korean Jindo Dog,FOUNDATION STOCK SERVICE,19-22 (males),40 -50 (males),14-15
Kromfohrlander,FOUNDATION STOCK SERVICE,15-18,20-35,13-15
Kuvasz,WORKING GROUP,28-30,100-115,10-12
Labrador Retriever,SPORTING GROUP,22.5-24.5,65-80,11-13
Lagotto Romagnolo,SPORTING GROUP,17-19,28.5-35,15-17
Lakeland Terrier,TERRIER GROUP,14.5-15,17,12-15
Lancashire Heeler,HERDING GROUP,10-12,9-17,12-15
Lapponian Herder,FOUNDATION STOCK SERVICE,18-20,70,10-14
Large Munsterlander,FOUNDATION STOCK SERVICE,23 - 26.5,50 - 70 lbs,12-14
Leonberger,WORKING GROUP,28-31.5,110-170,7
Lhasa Apso,NON-SPORTING GROUP,10-11,12-18,12-15
Löwchen,NON-SPORTING GROUP,12-14,15,13-15
Maltese,TOY GROUP,7-9,under 7,12-15
Manchester Terrier (Standard),TERRIER GROUP,15-16,12-22,15-17
Manchester Terrier (Toy),TOY GROUP,10-12,under 12,15-17
Mastiff,WORKING GROUP,30 & up,160-230,6-10
Miniature American Shepherd,HERDING GROUP,14-18,20-40,12-13
Miniature Bull Terrier,TERRIER GROUP,10-14,18-28,11-13
Miniature Pinscher,TOY GROUP,10-12.5,8-10,12-16
Miniature Schnauzer,TERRIER GROUP,12-14,11-20,12-15
Mountain Cur,FOUNDATION STOCK SERVICE,18 - 26 (males),30-60,10-13
